C:\4c\Engineering\bin>PLIST 4cpcdl
Microsoft (R) PLIST Version 6.00.8168.0
Copyright (c) Microsoft Corp 1991-1998. All rights reserved.

Profile: Function timing, sorted by time
Date:    Wed Jun 07 17:09:08 2006


Program Statistics
------------------
    Command line at 2006 Jun 07 17:07: 4dl C:\4c\Projects\d-236\MassTest\MassTest.4cp win1
    Total time: 87729,071 millisecond
    Time outside of functions: 11020,905 millisecond
    Call depth: 17
    Total functions: 1322
    Total hits: 345877
    Function coverage: 39,0%
    Overhead Calculated 963
    Overhead Average 963

Module Statistics for 4cpcdl.dll
--------------------------------
    Time in module: 76708,166 millisecond
    Percent of time in module: 100,0%
    Functions in module: 1322
    Hits in module: 345877
    Module function coverage: 39,0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0,645   0,0        0,645   0,0      713 COleVariant::operator=(class COleDateTime const &) (mfc42.dll)
       0,638   0,0        0,638   0,0     5027 ATL::CComDynamicUnkArray::end(void) (cedl.obj)
       0,638   0,0        0,638   0,0      713 AfxVariantInit(struct tagVARIANT *) (mfc42.dll)
       0,611   0,0        0,611   0,0      719 CString::GetBuffer(int) (mfc42.dll)
       0,609   0,0        1,425   0,0     1428 CGuid::Empty(void) (dlstat.obj)
       0,608   0,0        0,608   0,0      722 AfxGetStaticModuleState(void) (dllmodul.obj)
       0,603   0,0        0,603   0,0        3 CFile::GetStatus(char const *,struct CFileStatus &) (mfc42.dll)
       0,576   0,0        0,938   0,0     2143 CGuid::DeleteString(void) (dlstat.obj)
       0,549   0,0        1,437   0,0      714 operator==(class CString const &,class CString const &) (dlstat.obj)
       0,540   0,0        0,540   0,0      714 AtlW2AHelper(char *,unsigned short const *,int,unsigned int) (cedl.obj)
       0,496   0,0        1,983   0,0     1442 ATL::CComBSTR::operator=(char const *) (dlstat.obj)
       0,496   0,0        0,496   0,0      715 ATL::CComBSTR::Empty(void) (dlstfire.obj)
       0,495   0,0        1,133   0,0      713 COleVariant::COleVariant(void) (dlstinfo.obj)
       0,478   0,0        0,478   0,0     1439 ATL::CComDynamicUnkArray::begin(void) (cedl.obj)
       0,472   0,0        0,472   0,0      717 CStation::SetSignal(enum CEDL_SIGNAL) (dlcsc.obj)
       0,460   0,0        0,858   0,0     2189 CString::IsEmpty(void) (dldb.obj)
       0,446   0,0        0,891   0,0     1440 ATL::CComObjectRootEx<class ATL::CComMultiThreadModel>::Lock(void) (cedl.obj)
       0,445   0,0        0,445   0,0     1440 ATL::CComAutoCriticalSection::Lock(void) (cedl.obj)
       0,445   0,0      133,555   0,2      714 CImpTransferNotify::OnTransferDomain(unsigned short *,float) (dlcsc.obj)
       0,441   0,0        1,094   0,0     2140 CCsvParse::IsEndOfLine(void) (dlstat.obj)
       0,438   0,0        0,438   0,0     1444 CDaoRecordset::CDaoRecordset(class CDaoDatabase *) (mfc42.dll)
       0,432   0,0       79,083   0,1        1 CStation::MarkDomains(bool) (dldb.obj)
       0,423   0,0        0,963   0,0      714 AtlW2AHelper(char *,unsigned short const *,int) (cedl.obj)
       0,419   0,0        0,419   0,0     1454 ATL::CComBSTR::~CComBSTR(void) (cedl.obj)
       0,400   0,0        0,400   0,0     2905 CCsvParse::IsOpen(void) (dlstat.obj)
       0,376   0,0        0,376   0,0      719 CString::ReleaseBuffer(int) (mfc42.dll)
       0,369   0,0        0,369   0,0      723 operator delete(void *) (mfc42.dll)
       0,353   0,0        0,353   0,0      714 ATL::CComBSTR::operator=(unsigned short const *) (dlstfire.obj)
       0,351   0,0        0,657   0,0      716 CImpDLEvents::OnDownloadState(unsigned short *,unsigned short *,float,enum __MIDL___MIDL_itf_cedl_0000_0002) (dlevnt.obj)
       0,345   0,0        0,345   0,0      713 COleVariant::~COleVariant(void) (dlstinfo.obj)
       0,344   0,0    76441,656  99,7        3 CStation::DoStateMachine(void) (dlstat.obj)
       0,327   0,0        0,327   0,0     1440 ATL::CComAutoCriticalSection::Unlock(void) (cedl.obj)
